Date,Open,High,Low,Close,Volume,Previous_Close,Daily_Price_Change,Daily_Return_%,Intraday_Range,Intraday_Range_%,SMA_7,SMA_30,SMA_50,SMA_200,Rolling_30D_Volatility_%,Year,Month,Month_Name,Quarter,Day_of_Week
2014-01-02,3.2356814490489727,3.246883894690576,3.1890038131948395,3.2039406299591064,13127000,,,,0.05788008149573631,1.7888065437575245,,,,,,2014,1,January,Q1,Thursday
2014-01-03,3.213275852825221,3.2226113347261927,3.196472074433652,3.207674741744995,4642000,3.2039406299591064,0.003734111785888672,0.11654747129119514,0.026139260292540545,0.8134770088151013,,,,,,2014,1,January,Q1,Friday
2014-01-06,3.230079174041748,3.265553908769818,3.2244778415648425,3.230079174041748,11781500,3.207674741744995,0.02240443229675293,0.6984633449638622,0.0410760672049757,1.2716736956505574,,,,,,2014,1,January,Q1,Monday
2014-01-07,3.241282775510154,3.2450171468804427,3.2114093625761893,3.233814477920532,17191500,3.230079174041748,0.0037353038787837356,0.11564124832610378,0.033607784304253485,1.0368667787389783,,,,,,2014,1,January,Q1,Tuesday
2014-01-08,3.248750381802608,3.420523403798977,3.222610902441005,3.407453775405884,42864500,3.233814477920532,0.173639297485352,5.369488530368893,0.19791250135797211,6.091957771411111,,,,,,2014,1,January,Q1,Wednesday
2014-01-09,3.390650163646315,3.396251497189861,3.3570423849604785,3.375713348388672,13011000,3.407453775405884,-0.031740427017211914,-0.9314998561772425,0.039209112229382725,1.1563891978527543,,,,,,2014,1,January,Q1,Thursday
2014-01-10,3.3103651989485847,3.329036163632043,3.2618206017414115,3.323434829711914,17033500,3.375713348388672,-0.05227851867675781,-1.5486658161218525,0.06721556189063138,2.030457603649891,3.283158711024693,,,,,2014,1,January,Q1,Friday
2014-01-13,3.3010295375826413,3.3178333158562543,3.2692889438572363,3.27675724029541,24355000,3.323434829711914,-0.046677589416503906,-1.4044984122811854,0.048544371999017955,1.4705827817150408,3.2935610839298795,,,,,2014,1,January,Q1,Monday
2014-01-14,3.256218890278897,3.286092519338913,3.239415113042281,3.2730228900909424,14303500,3.27675724029541,-0.0037343502044677734,-0.11396481126356717,0.046677406296632196,1.4334849059436006,3.3028965336935863,,,,,2014,1,January,Q1,Tuesday
2014-01-15,3.246883610161615,3.2692889446323363,3.2375481283239624,3.2506179809570312,13571000,3.2730228900909424,-0.022404909133911133,-0.684532613619715,0.03174081630837389,0.977577890659098,3.305830648967198,,,,,2014,1,January,Q1,Wednesday
